,Year,Industry,Opened Licenses
853,2006,Sidewalk Cafe,351
854,2006,Horse Drawn Driver,15
855,2006,Garage,215
856,2006,Bingo Game Operator,7
857,2006,Parking Lot,67
858,2006,Sightseeing Guide,122
859,2006,Pawnbroker,28
860,2006,Secondhand Dealer - General,456
861,2006,Tow Truck Driver,165
862,2006,Process Serving Agency,9
863,2006,Auction House Premises,4
864,2006,Newsstand,11
865,2006,Amusement Device Portable,7
866,2006,Electronics Store,406
867,2006,Special Sale,76
868,2006,Tow Truck Company,39
869,2006,Laundry,385
870,2006,Booting Company,1
871,2006,Auctioneer,17
872,2006,Process Server Individual,152
873,2006,Locksmith Apprentice,3
874,2006,General Vendor,1687
875,2006,Locksmith,91
876,2006,Pool or Billiard Room,8
877,2006,Gaming Cafe,8
878,2006,General Vendor Distributor,1
879,2005,Home Improvement Salesperson,653
880,2005,Secondhand Dealer - General,411
881,2005,Laundry,265
882,2005,Sightseeing Guide,183
883,2005,Cabaret,8
884,2005,Secondhand Dealer - Auto,118
885,2005,Pawnbroker,28
886,2005,Horse Drawn Driver,21
887,2005,Tobacco Retail Dealer,1632
888,2005,General Vendor,448
889,2005,Pool or Billiard Room,3
890,2005,Motion Picture Projectionist,23
891,2005,Catering Establishment,3
892,2005,Employment Agency,40
893,2005,Horse Drawn Cab Owner,3
894,2005,Stoop Line Stand,288
895,2005,Process Server Individual,143
896,2005,Electronic & Appliance Service,173
897,2005,Dealer In Products,67
898,2005,Debt Collection Agency,17
899,2005,Garage and Parking Lot,6
900,2005,Amusement Device Portable,3
901,2005,Auctioneer,7
902,2005,Electronics Store,561
903,2005,Amusement Device Permanent,55
904,2005,Parking Lot,114
905,2005,Tow Truck Driver,180
906,2005,Locksmith,106
907,2005,Special Sale,57
908,2005,Process Serving Agency,10
909,2005,Amusement Device Temporary,54
910,2005,Laundry Jobber,174
911,2005,Home Improvement Contractor,954
912,2005,Tow Truck Company,6
913,2005,Bingo Game Operator,10
914,2005,Garage,156
915,2005,Games of Chance,14
916,2005,Sidewalk Cafe,464
917,2005,Scrap Metal Processor,10
918,2005,Locksmith Apprentice,4
919,2005,Auction House Premises,9
920,2005,Newsstand,3
921,2005,Tow Truck Exemption,4
922,2005,Scale Dealer Repairer,1
923,2005,Storage Warehouse,5
924,2004,Tow Truck Driver,222
925,2004,Tow Truck Company,32
926,2004,Process Serving Agency,32
927,2004,Scrap Metal Processor,4
928,2004,Horse Drawn Cab Owner,6
929,2004,Special Sale,87
930,2004,Storage Warehouse,1
931,2004,Pool or Billiard Room,9
932,2004,Process Server Individual,329
933,2004,Cabaret,12
934,2004,Locksmith Apprentice,2
935,2004,Stoop Line Stand,404
936,2004,Home Improvement Salesperson,582
937,2004,Auctioneer,84
938,2004,Games of Chance,11
939,2004,General Vendor Distributor,2
940,2004,Laundry Jobber,256
941,2004,Sightseeing Bus,1
942,2004,Employment Agency,97
943,2004,Amusement Device Portable,22
944,2004,Electronics Store,457
945,2004,Electronic & Appliance Service,205
946,2004,Laundry,352
947,2004,Booting Company,2
948,2004,Bingo Game Operator,29
949,2004,Sightseeing Guide,121
950,2004,Debt Collection Agency,15
951,2004,Locksmith,75
952,2004,Garage,83
953,2004,Newsstand,14
954,2004,General Vendor,503
955,2004,Home Improvement Contractor,645
956,2004,Pawnbroker,36
957,2004,Horse Drawn Driver,27
958,2004,Secondhand Dealer - Auto,109
959,2004,Scale Dealer Repairer,3
960,2004,Tow Truck Exemption,5
961,2004,Parking Lot,57
962,2004,Amusement Arcade,2
963,2004,Amusement Device Permanent,10
964,2004,Motion Picture Projectionist,17
965,2004,Catering Establishment,6
966,2004,Secondhand Dealer - General,393
967,2004,Tobacco Retail Dealer,1742
968,2004,Dealer In Products,72
969,2004,Sidewalk Cafe,89
970,2004,Amusement Device Temporary,64
971,2004,Garage and Parking Lot,1
972,2003,Debt Collection Agency,15
973,2003,Sightseeing Bus,1
974,2003,Secondhand Dealer - General,1388
975,2003,Stoop Line Stand,286
976,2003,Special Sale,17
977,2003,Newsstand,4
978,2003,Locksmith Apprentice,5
979,2003,Dealer In Products,83
980,2003,Tow Truck Exemption,2
981,2003,Catering Establishment,5
982,2003,Home Improvement Salesperson,958
983,2003,Home Improvement Contractor,1057
984,2003,Secondhand Dealer - Auto,277
985,2003,Sightseeing Guide,73
986,2003,Cabaret,24
987,2003,Amusement Device Temporary,1
988,2003,Tow Truck Driver,174
989,2003,Horse Drawn Cab Owner,3
990,2003,Bingo Game Operator,15
991,2003,Parking Lot,120
992,2003,Laundry,245
993,2003,Horse Drawn Driver,17
994,2003,Process Server Individual,201
995,2003,Storage Warehouse,8
996,2003,Tow Truck Company,26
997,2003,General Vendor Distributor,4
998,2003,Auctioneer,9
999,2003,Pool or Billiard Room,10
1000,2003,Employment Agency,28
1001,2003,Sidewalk Cafe,153
1002,2003,Electronic & Appliance Service,114
1003,2003,Amusement Device Permanent,49
1004,2003,Process Serving Agency,11
1005,2003,Laundry Jobber,134
1006,2003,Motion Picture Projectionist,41
1007,2003,Locksmith,630
1008,2003,General Vendor,327
1009,2003,Electronics Store,429
1010,2003,Games of Chance,5
1011,2003,Scrap Metal Processor,3
1012,2003,Garage,124
1013,2003,Pawnbroker,35
1014,2003,Tobacco Retail Dealer,1847
1015,2003,Garage and Parking Lot,7
1016,2002,General Vendor,53
1017,2002,Debt Collection Agency,13
1018,2002,Motion Picture Projectionist,57
1019,2002,Locksmith,75
1020,2002,Special Sale,3
1021,2002,Catering Establishment,47
1022,2002,Process Serving Agency,6
1023,2002,Tow Truck Company,24
1024,2002,Sightseeing Bus,3
1025,2002,Parking Lot,61
1026,2002,Amusement Device Portable,1
1027,2002,Scrap Metal Processor,2
1028,2002,Electronic & Appliance Service,223
1029,2002,Dealer In Products,51
1030,2002,Process Server Individual,180
1031,2002,Amusement Device Permanent,1
1032,2002,Secondhand Dealer - General,245
1033,2002,Home Improvement Salesperson,963
1034,2002,Auctioneer,13
1035,2002,Cabaret,141
1036,2002,Pawnbroker,8
1037,2002,Home Improvement Contractor,1077
1038,2002,Pool or Billiard Room,6
1039,2002,Scale Dealer Repairer,1
1040,2002,Stoop Line Stand,356
1041,2002,Tow Truck Driver,122
1042,2002,Sidewalk Cafe,25
1043,2002,Electronics Store,354
1044,2002,Storage Warehouse,2
1045,2002,Tobacco Retail Dealer,1440
1046,2002,Secondhand Dealer - Auto,79
1047,2002,Sightseeing Guide,82
1048,2002,Laundry Jobber,123
1049,2002,Amusement Arcade,20
1050,2002,Locksmith Apprentice,3
1051,2002,Games of Chance,8
1052,2002,Garage,63
1053,2002,Laundry,161
1054,2002,Horse Drawn Driver,12
1055,2002,Horse Drawn Cab Owner,3
1056,2002,Employment Agency,72
1057,2002,Newsstand,119
1058,2002,Bingo Game Operator,16
1059,2002,Garage and Parking Lot,2
1060,2001,Locksmith,70
1061,2001,Process Serving Agency,6
1062,2001,Employment Agency,18
1063,2001,Amusement Arcade,6
1064,2001,Pawnbroker,5
1065,2001,Secondhand Dealer - Auto,68
1066,2001,Tow Truck Exemption,4
1067,2001,Bingo Game Operator,8
1068,2001,Home Improvement Salesperson,280
1069,2001,Garage,79
1070,2001,Sightseeing Guide,63
1071,2001,Tow Truck Company,25
1072,2001,Motion Picture Projectionist,7
1073,2001,Garage and Parking Lot,2
1074,2001,Tow Truck Driver,88
1075,2001,Tobacco Retail Dealer,2155
1076,2001,Scrap Metal Processor,2
1077,2001,Storage Warehouse,6
1078,2001,Auctioneer,9
1079,2001,Debt Collection Agency,11
1080,2001,Cabaret,1
1081,2001,Pool or Billiard Room,7
1082,2001,General Vendor,5
1083,2001,Secondhand Dealer - General,267
1084,2001,Electronic & Appliance Service,135
1085,2001,Home Improvement Contractor,351
1086,2001,Stoop Line Stand,221
1087,2001,Parking Lot,68
1088,2001,Horse Drawn Cab Owner,7
1089,2001,Horse Drawn Driver,22
1090,2001,Newsstand,4
1091,2001,Scale Dealer Repairer,1
1092,2001,Games of Chance,1
1093,2001,Sidewalk Cafe,18
1094,2001,Laundry,136
1095,2001,Amusement Device Temporary,1
1096,2001,Dealer In Products,39
1097,2001,Process Server Individual,93
1098,2001,Special Sale,1
1099,2001,Electronics Store,391
1100,2001,Laundry Jobber,85
1101,2000,Sidewalk Cafe,13
1102,2000,Debt Collection Agency,2
1103,2000,Tow Truck Company,10
1104,2000,Storage Warehouse,4
1105,2000,Home Improvement Contractor,255
1106,2000,Employment Agency,134
1107,2000,Games of Chance,1
1108,2000,Electronics Store,161
1109,2000,Cabaret,5
1110,2000,Horse Drawn Driver,11
1111,2000,Motion Picture Projectionist,12
1112,2000,Commercial Lessor,1
1113,2000,General Vendor,2
1114,2000,Secondhand Dealer - General,168
1115,2000,Process Server Individual,62
1116,2000,Tobacco Retail Dealer,3971
1117,2000,Garage,38
1118,2000,Newsstand,62
1119,2000,Home Improvement Salesperson,218
1120,2000,Pawnbroker,11
1121,2000,Locksmith,67
1122,2000,Parking Lot,53
1123,2000,Sightseeing Guide,69
1124,2000,Laundry,162
1125,2000,Horse Drawn Cab Owner,1
1126,2000,Electronic & Appliance Service,112
1127,2000,Sightseeing Bus,1
1128,2000,Tow Truck Exemption,1
1129,2000,Scrap Metal Processor,1
1130,2000,Tow Truck Driver,81
1131,2000,Laundry Jobber,99
1132,2000,Locksmith Apprentice,6
1133,2000,Dealer In Products,49
1134,2000,Process Serving Agency,6
1135,2000,Amusement Arcade,4
1136,2000,Pool or Billiard Room,3
1137,2000,Auctioneer,10
1138,2000,Stoop Line Stand,200
1139,2000,Bingo Game Operator,8
1140,2000,Secondhand Dealer - Auto,52
1141,1999,Scrap Metal Processor,4
1142,1999,Laundry,135
1143,1999,Tow Truck Company,9
1144,1999,Games of Chance,3
1145,1999,Process Server Individual,61
1146,1999,Garage and Parking Lot,2
1147,1999,Electronics Store,130
1148,1999,Sightseeing Bus,1
1149,1999,Sidewalk Cafe,8
1150,1999,Process Serving Agency,1
1151,1999,Storage Warehouse,9
1152,1999,Parking Lot,66
1153,1999,Home Improvement Contractor,241
1154,1999,Secondhand Dealer - Auto,70
1155,1999,Amusement Device Portable,1
1156,1999,General Vendor,3
1157,1999,Locksmith Apprentice,1
1158,1999,Garage,56
1159,1999,Stoop Line Stand,143
1160,1999,Tow Truck Driver,67
1161,1999,Laundry Jobber,70
1162,1999,Auctioneer,8
1163,1999,Dealer In Products,38
1164,1999,Electronic & Appliance Service,86
1165,1999,Locksmith,93
1166,1999,Horse Drawn Driver,4
1167,1999,Home Improvement Salesperson,182
1168,1999,Catering Establishment,1
1169,1999,Horse Drawn Cab Owner,5
1170,1999,Newsstand,76
1171,1999,Tobacco Retail Dealer,4
1172,1999,Bingo Game Operator,5
1173,1999,Secondhand Dealer - General,217
1174,1999,Debt Collection Agency,1
1175,1999,Scale Dealer Repairer,2
1176,1999,Motion Picture Projectionist,14
1177,1999,Pawnbroker,12
1178,1999,Sightseeing Guide,68
1179,1999,Pool or Billiard Room,14
1180,1998,Electronic & Appliance Service,112
1181,1998,Sightseeing Guide,62
1182,1998,Pawnbroker,11
1183,1998,Tobacco Retail Dealer,11
1184,1998,Storage Warehouse,2
1185,1998,Electronics Store,139
1186,1998,Laundry,141
1187,1998,Secondhand Dealer - General,161
1188,1998,Debt Collection Agency,3
1189,1998,Stoop Line Stand,176
1190,1998,Employment Agency,4
1191,1998,Games of Chance,4
1192,1998,Motion Picture Projectionist,1
1193,1998,Auctioneer,8
1194,1998,Scale Dealer Repairer,1
1195,1998,Garage and Parking Lot,3
1196,1998,Cabaret,2
1197,1998,Garage,57
1198,1998,Process Server Individual,34
1199,1998,Horse Drawn Driver,16
1200,1998,Amusement Device Permanent,1
1201,1998,Pool or Billiard Room,1
1202,1998,Scrap Metal Processor,4
1203,1998,Home Improvement Contractor,203
1204,1998,Dealer In Products,28
1205,1998,Commercial Lessor,1
1206,1998,Bingo Game Operator,4
1207,1998,Tow Truck Driver,63
1208,1998,Laundry Jobber,70
1209,1998,Sidewalk Cafe,7
1210,1998,Secondhand Dealer - Auto,53
1211,1998,Locksmith,83
1212,1998,Home Improvement Salesperson,148
1213,1998,Special Sale,2
1214,1998,Parking Lot,35
1215,1998,Horse Drawn Cab Owner,3
1216,1998,Amusement Device Portable,1
1217,1998,Tow Truck Company,31
1218,1998,Locksmith Apprentice,1
1219,1997,Laundry,97
1220,1997,Tow Truck Company,2
1221,1997,Home Improvement Salesperson,118
1222,1997,Auctioneer,3
1223,1997,Home Improvement Contractor,203
1224,1997,Pawnbroker,8
1225,1997,Process Server Individual,27
1226,1997,Tow Truck Exemption,1
1227,1997,Booting Company,1
1228,1997,Special Sale,3
1229,1997,Scale Dealer Repairer,8
1230,1997,Scrap Metal Processor,3
1231,1997,Debt Collection Agency,7
1232,1997,Laundry Jobber,66
1233,1997,Motion Picture Projectionist,22
1234,1997,Stoop Line Stand,82
1235,1997,Horse Drawn Driver,12
1236,1997,Parking Lot,286
1237,1997,Tow Truck Driver,53
1238,1997,Sidewalk Cafe,8
1239,1997,Electronics Store,153
1240,1997,Sightseeing Guide,85
1241,1997,Storage Warehouse,35
1242,1997,Locksmith,93
1243,1997,Secondhand Dealer - Auto,30
1244,1997,Garage and Parking Lot,15
1245,1997,Horse Drawn Cab Owner,3
1246,1997,Dealer In Products,48
1247,1997,Secondhand Dealer - General,157
1248,1997,Garage,426
1249,1997,Electronic & Appliance Service,44
1250,1996,Laundry Jobber,110
1251,1996,Sidewalk Cafe,5
1252,1996,Dealer In Products,3
1253,1996,Motion Picture Projectionist,47
1254,1996,Sightseeing Guide,205
1255,1996,Tow Truck Company,6
1256,1996,Home Improvement Salesperson,57
1257,1996,Tow Truck Driver,93
1258,1996,Special Sale,2
1259,1996,Electronics Store,86
1260,1996,Catering Establishment,1
1261,1996,Employment Agency,1
1262,1996,Scale Dealer Repairer,3
1263,1996,Horse Drawn Cab Owner,21
1264,1996,Stoop Line Stand,273
1265,1996,Secondhand Dealer - General,15
1266,1996,Laundry,148
1267,1996,Auctioneer,17
1268,1996,Electronic & Appliance Service,159
1269,1996,Secondhand Dealer - Auto,10
1270,1996,Tow Truck Exemption,2
1271,1996,Horse Drawn Driver,44
1272,1996,General Vendor,1
1273,1996,Parking Lot,3
1274,1996,Games of Chance,1
1275,1996,Scrap Metal Processor,5
1276,1996,Newsstand,11
1277,1996,Home Improvement Contractor,79
1278,1996,Garage,10
1279,1996,Process Server Individual,44
1280,1996,Amusement Device Permanent,1
1281,1996,Process Serving Agency,3
1282,1995,Tow Truck Driver,135
1283,1995,Dealer In Products,35
1284,1995,Secondhand Dealer - Auto,46
1285,1995,Process Serving Agency,1
1286,1995,Motion Picture Projectionist,17
1287,1995,Sidewalk Cafe,21
1288,1995,General Vendor,1
1289,1995,Scale Dealer Repairer,1
1290,1995,Garage,70
1291,1995,Electronics Store,32
1292,1995,Debt Collection Agency,7
1293,1995,Tow Truck Company,6
1294,1995,Newsstand,1
1295,1995,Stoop Line Stand,29
1296,1995,Sightseeing Guide,18
1297,1995,Process Server Individual,7
1298,1995,Games of Chance,5
1299,1995,Storage Warehouse,5
1300,1995,Scrap Metal Processor,3
1301,1995,Laundry Jobber,217
1302,1995,Parking Lot,46
1303,1995,Home Improvement Salesperson,18
1304,1995,Auctioneer,1
1305,1995,Laundry,381
1306,1995,Secondhand Dealer - General,96
1307,1995,Electronic & Appliance Service,19
1308,1995,Garage and Parking Lot,1
1309,1995,Horse Drawn Driver,2
1310,1995,Home Improvement Contractor,31
1311,1995,Horse Drawn Cab Owner,3
1312,1995,Tow Truck Exemption,1
1313,1994,Sightseeing Guide,144
1314,1994,General Vendor,1
1315,1994,Stoop Line Stand,93
1316,1994,Process Serving Agency,7
1317,1994,Debt Collection Agency,5
1318,1994,Bingo Game Operator,1
1319,1994,Horse Drawn Cab Owner,17
1320,1994,Sidewalk Cafe,10
1321,1994,Laundry Jobber,30
1322,1994,Tow Truck Driver,31
1323,1994,Newsstand,1
1324,1994,Commercial Lessor,4
1325,1994,Electronics Store,71
1326,1994,Laundry,33
1327,1994,Secondhand Dealer - Auto,2
1328,1994,Auctioneer,3
1329,1994,Tow Truck Company,16
1330,1994,Horse Drawn Driver,11
1331,1994,Home Improvement Contractor,44
1332,1994,Motion Picture Projectionist,33
1333,1994,Home Improvement Salesperson,59
1334,1994,Amusement Device Temporary,1
1335,1994,Secondhand Dealer - General,3
1336,1994,Process Server Individual,31
1337,1994,Electronic & Appliance Service,103
1338,1994,Garage,2
1339,1994,Games of Chance,5
1340,1994,Parking Lot,1
1341,1993,Special Sale,1
1342,1993,Home Improvement Salesperson,1
1343,1993,Electronics Store,1
1344,1993,Laundry,3
1345,1993,Tow Truck Company,5
1346,1993,Secondhand Dealer - General,1
1347,1993,Laundry Jobber,3
1348,1993,General Vendor,1
1349,1993,Parking Lot,3
1350,1993,Secondhand Dealer - Auto,1
1351,1993,Sidewalk Cafe,1
1352,1993,Tow Truck Driver,1
1353,1993,Garage,2
1354,1993,Home Improvement Contractor,8
1355,1993,Stoop Line Stand,2
1356,1993,Dealer In Products,1
1357,1992,Process Serving Agency,1
1358,1992,Tow Truck Company,1
1359,1992,Home Improvement Contractor,2
1360,1992,Laundry Jobber,2
1361,1992,Auctioneer,1
1362,1992,Parking Lot,1
1363,1992,Laundry,1
1364,1992,Amusement Device Temporary,2
1365,1992,Electronics Store,5
1366,1992,Stoop Line Stand,6
1367,1991,Stoop Line Stand,1
1368,1991,Process Server Individual,1
1369,1991,Garage,2
1370,1991,Parking Lot,4
1371,1991,Home Improvement Contractor,5
1372,1991,Secondhand Dealer - General,3
1373,1991,Debt Collection Agency,1
1374,1991,Laundry,1
1375,1991,Garage and Parking Lot,1
1376,1990,Laundry Jobber,1
1377,1990,Sidewalk Cafe,2
1378,1990,Secondhand Dealer - General,1
1379,1990,Home Improvement Contractor,5
1380,1990,Auctioneer,1
1381,1990,Electronics Store,1
1382,1990,Special Sale,1
1383,1990,Stoop Line Stand,4
1384,1990,General Vendor,1
1385,1989,Home Improvement Contractor,3
1386,1989,Secondhand Dealer - General,4
1387,1989,Electronics Store,2
1388,1989,Commercial Lessor,5
1389,1989,Storage Warehouse,1
1390,1989,Garage,1
1391,1988,Tow Truck Driver,1
1392,1988,Tow Truck Company,4
1393,1988,Stoop Line Stand,3
1394,1988,Laundry,1
1395,1988,Sidewalk Cafe,3
1396,1988,Home Improvement Contractor,4
1397,1988,Secondhand Dealer - General,2
1398,1987,Newsstand,1
1399,1987,Process Server Individual,2
1400,1987,Garage,3
1401,1987,Secondhand Dealer - General,1
1402,1987,Secondhand Dealer - Auto,1
1403,1987,Stoop Line Stand,1
1404,1986,Electronics Store,1
1405,1986,Laundry,1
1406,1986,Electronic & Appliance Service,1
1407,1986,Home Improvement Contractor,2
1408,1986,Secondhand Dealer - General,1
1409,1986,Process Server Individual,1
1410,1986,Employment Agency,1
1411,1986,Secondhand Dealer - Auto,1
1412,1985,Secondhand Dealer - General,1
1413,1985,Garage,1
1414,1984,Amusement Device Permanent,1
1415,1984,Secondhand Dealer - Auto,1
1416,1982,Employment Agency,1
1417,1981,Newsstand,1
1418,1977,Electronics Store,1
